center,link,next,amount_of_slots
Vaccinationscentral covid-19 Kalmar,https://bokning.mittvaccin.se/klinik/1546/bokning,None,0
Vaccinationcentral covid-19 Oskarshamn,https://bokning.mittvaccin.se/klinik/2053/bokning,None,0
Vaccinationscentral covid-19 Västervik,https://bokning.mittvaccin.se/klinik/1547/bokning,None,0
Vaccinationscentral covid-19 Borgholm,https://bokning.mittvaccin.se/klinik/2056/bokning,None,0
Borgholms hälsocentral,https://bokning.mittvaccin.se/klinik/490/bokning,None,0
Löttorps hälsocentral,https://bokning.mittvaccin.se/klinik/494/bokning,None,0
Astrakanen Emmaboda läkarcentrum,https://bokning.mittvaccin.se/klinik/528/bokning,None,0
Emmaboda hälsocentral,https://bokning.mittvaccin.se/klinik/506/bokning,None,0
Hultsfred hälsocentral,https://bokning.mittvaccin.se/klinik/505/bokning,None,0
Läkarmottagning Dorrit Ruge,https://bokning.mittvaccin.se/klinik/510/bokning,None,0
Mörlunda hälsocentral,https://bokning.mittvaccin.se/klinik/515/bokning,None,0
Virserums läkarhus,https://bokning.mittvaccin.se/klinik/508/bokning,None,0
Högsby hälsocentral,https://bokning.mittvaccin.se/klinik/519/bokning,None,0
Lindsdal hälsocentral,https://bokning.mittvaccin.se/klinik/518/bokning,None,0
Ljungbyholms hälsocentral,https://bokning.mittvaccin.se/klinik/496/bokning,None,0
Smedby hälsocentral,https://bokning.mittvaccin.se/klinik/498/bokning,None,0
Blomstermåla hälsocentral,https://bokning.mittvaccin.se/klinik/521/bokning,None,0
Mönsterås hälsocentral,https://bokning.mittvaccin.se/klinik/492/bokning,None,0
Färjestaden hälsocentral,https://bokning.mittvaccin.se/klinik/500/bokning,None,0
Astrakanen läkarcentrum Nybro,https://bokning.mittvaccin.se/klinik/526/bokning,None,0
Cityläkarna Nybro,https://bokning.mittvaccin.se/klinik/525/bokning,None,0
Nybro hälsocentral,https://bokning.mittvaccin.se/klinik/499/bokning,None,0
Blå kustens hälsocentral,https://bokning.mittvaccin.se/klinik/488/bokning,None,0
Cityläkarna i Oskarshamn,https://bokning.mittvaccin.se/klinik/529/bokning,None,0
Gripens hälsocentral,https://bokning.mittvaccin.se/klinik/495/bokning,None,0
Kristineberg hälsocentral,https://bokning.mittvaccin.se/klinik/513/bokning,None,0
Torsås hälsocentral,https://bokning.mittvaccin.se/klinik/493/bokning,None,0
Vimmerby hälsocentral,https://bokning.mittvaccin.se/klinik/491/bokning,None,0
Ankarsrum hälsocentral,https://bokning.mittvaccin.se/klinik/520/bokning,None,0
Gamleby hälsocentral,https://bokning.mittvaccin.se/klinik/516/bokning,None,0
